2014-11-28 16:02:42.7014 *********************************************************
2014-11-28 16:02:42.7170 * VersionOne Data Migration Log
2014-11-28 16:02:42.7326 * 11/28/2014 4:02:42 PM
2014-11-28 16:02:42.7326 *********************************************************
2014-11-28 16:02:42.7326 
2014-11-28 16:02:42.7326 Initializing configurations.
2014-11-28 16:02:42.9822 Verifying connections.
2014-11-28 16:02:56.3760 -> Connection to staging database "V1Staging" verified.
2014-11-28 16:03:17.7852 -> Connection to V1 target instance "http://localhost/AllyProduction" verified.
2014-11-28 16:03:17.7852 -> V1 target instance version: 14.3.2.6314.
2014-11-28 16:03:18.0504 
2014-11-28 16:03:18.0504 *** IMPORTING:
2014-11-28 16:03:18.2688 Importing conversations.
2014-11-28 16:04:26.8982 Name is  and newAssetOId is 
2014-11-28 16:04:27.0698 Name is Story:15337 and newAssetOId is 
2014-11-28 16:04:27.2414 Name is Story:15335 and newAssetOId is 
2014-11-28 16:04:27.4130 Name is Story:15335 and newAssetOId is 
2014-11-28 16:04:28.0838 Name is Story:15337 and newAssetOId is 
2014-11-28 16:04:29.6126 Name is Story:15337 and newAssetOId is 
2014-11-28 16:04:29.7842 Name is Story:15338 and newAssetOId is 
2014-11-28 16:04:29.9558 Name is Task:16009 and newAssetOId is 
2014-11-28 16:04:30.1274 Name is Story:15340 and newAssetOId is 
2014-11-28 16:04:30.2990 Name is Story:15340 and newAssetOId is 
2014-11-28 16:04:30.4706 Name is Story:15340 and newAssetOId is 
2014-11-28 16:04:31.0790 Name is Story:15475 and newAssetOId is 
2014-11-28 16:04:32.6390 Name is Story:15476 and newAssetOId is 
2014-11-28 16:04:32.8574 Name is Story:15477 and newAssetOId is 
2014-11-28 16:04:33.0290 Name is Story:15478 and newAssetOId is 
2014-11-28 16:04:33.2006 Name is Story:15479 and newAssetOId is 
2014-11-28 16:04:33.3722 Name is Story:15479 and newAssetOId is 
2014-11-28 16:04:33.5438 Name is Story:15479 and newAssetOId is 
2014-11-28 16:04:34.2770 Name is Story:15480 and newAssetOId is 
2014-11-28 16:04:35.8058 Name is Story:15481 and newAssetOId is 
2014-11-28 16:04:36.0086 Name is Story:15482 and newAssetOId is 
2014-11-28 16:04:36.1802 Name is Story:15338 and newAssetOId is 
2014-11-28 16:04:36.3518 Name is Story:15338 and newAssetOId is 
2014-11-28 16:04:36.5234 Name is Story:15338 and newAssetOId is 
2014-11-28 16:04:36.6950 Name is Story:15340 and newAssetOId is 
2014-11-28 16:04:37.7558 Name is Story:15338 and newAssetOId is 
2014-11-28 16:04:38.9570 Name is Story:15338 and newAssetOId is 
